00000008-10 13:52:22 [INFO] Network Analyzer started
08-10 13:52:23 [INFO] Network: 192.168.7.0, Netmask: 255.255.255.0
08-10 13:52:27 [INFO] Successfully applied filter: tcp
08-10 13:52:27 [INFO] Packet capture started
08-10 13:52:35 [INFO] Packet capture stopped
08-10 13:52:35 [DEBUG] Packet processed: 94 bytes
08-10 13:52:35 [DEBUG] Packet processed: 66 bytes
08-10 13:52:35 [DEBUG] Packet processed: 98 bytes
08-10 13:52:35 [DEBUG] Packet processed: 66 bytes
08-10 13:52:35 [DEBUG] Packet processed: 66 bytes
08-10 13:52:35 [DEBUG] Packet processed: 78 bytes
08-10 13:52:35 [DEBUG] Packet processed: 74 bytes
08-10 13:52:35 [DEBUG] Packet processed: 66 bytes
08-10 13:52:35 [DEBUG] Packet processed: 583 bytes
08-10 13:52:35 [DEBUG] Packet processed: 66 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1266 bytes
08-10 13:52:35 [DEBUG] Packet processed: 706 bytes
08-10 13:52:35 [DEBUG] Packet processed: 66 bytes
08-10 13:52:35 [DEBUG] Packet processed: 146 bytes
08-10 13:52:35 [DEBUG] Packet processed: 332 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 314 bytes
08-10 13:52:35 [DEBUG] Packet processed: 66 bytes
08-10 13:52:35 [DEBUG] Packet processed: 353 bytes
08-10 13:52:35 [DEBUG] Packet processed: 353 bytes
08-10 13:52:35 [DEBUG] Packet processed: 128 bytes
08-10 13:52:35 [DEBUG] Packet processed: 66 bytes
08-10 13:52:35 [DEBUG] Packet processed: 97 bytes
08-10 13:52:35 [DEBUG] Packet processed: 66 bytes
08-10 13:52:35 [DEBUG] Packet processed: 97 bytes
08-10 13:52:35 [DEBUG] Packet processed: 66 bytes
08-10 13:52:35 [DEBUG] Packet processed: 66 bytes
08-10 13:52:35 [DEBUG] Packet processed: 66 bytes
08-10 13:52:35 [DEBUG] Packet processed: 66 bytes
08-10 13:52:35 [DEBUG] Packet processed: 66 bytes
08-10 13:52:35 [DEBUG] Packet processed: 66 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 66 bytes
08-10 13:52:35 [DEBUG] Packet processed: 66 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 66 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 66 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 66 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 66 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 66 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 66 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 66 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 66 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 66 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 66 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 66 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 66 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 66 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 66 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 66 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 66 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
